股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
528,柳工,机械行业,1258.69,105.5,0.0438,7.8618,1.2248,3.1289,112524.21,3.2178,0.56,24.87,57.02,5.25,131.13,0.0,预增,2017-04-15,650.1%~700.1%,23
300609,汇纳科技,电子信息,144.1,69.60,-0.0236,4.2847,-0.0356,2.073,10000.0,1.0837,-0.76,74.78,5.76,157.01,0.0,0.0,,,,22
300523,辰安科技,软件服务,1226.54,82.36,1.16,9.9383,0.4471,5.8457,8000.0,2.9358,15.22,55.78,30.59,32.58,2.0,0.62,,,,22
300522,世名科技,化工行业,84.86,59.58,0.19,8.5262,-0.0832,4.2703,6667.0,2.8387,2.26,43.96,6.13,22.34,1.71,-4.41,预升,2017-04-10,-10%~10%,22
2458,益生股份,农牧饲渔,16.78,94.32,1.7,4.4119,1.7128,2.9414,33351.61,0.3081,49.32,44.95,23.88,166.62,0.0,0.0,,,,22
600074,保千里,安防设备,40.23,330.3,0.35,1.7946,-0.138,0.2921,243788.6,0.6067,30.0,40.76,50.23,148.29,114.07,113.72,,,,22
603768,常青股份,汽车行业,39.1,58.02,0.7273,7.4866,0.3563,3.8918,20400.0,2.3574,22.09,26.41,51.35,31.26,92.25,100.43,,,,22
300485,赛升药业,医药制造,37.11,99.67,0.84,8.4984,0.7665,4.2937,24000.0,2.9547,10.29,68.07,2.93,2.73,29.17,29.23,预升,2017-04-07,-25%~5%,22
603168,莎普爱思,医药制造,25.54,70.60,1.1696,8.6084,1.4846,4.3175,17724.86,2.9194,21.34,77.21,32.35,2.91,62.54,25.55,,,,22
990,诚志股份,化工行业,185.5,205.5,0.1635,12.3526,0.2889,10.3167,125301.19,0.9912,1.33,32.32,21.27,99.88,0.0,0.0,预盈,2017-04-10,1238.4%~1295.32%,22
300319,麦捷科技,电子元件,58.68,91.81,0.73,9.4717,1.4113,7.1505,23366.97,1.214,12.17,18.71,28.43,149.55,103.37,104.28,,,,22
600285,羚锐制药,医药制造,16.2,72.97,0.583,3.4997,0.0907,0.9314,59232.08,1.0577,15.86,67.64,31.76,28.21,222.11,38.38,,,,22
600148,长春一东,汽车行业,368.11,50.68,0.078,2.7383,-0.1907,0.6297,14151.65,0.85,2.87,30.35,54.46,78.41,6546.41,6190.61,,,,22
600146,商赢环球,纺织服装,580.87,167.9,0.10800000000000001,6.1097,-0.1645,5.5107,46997.0,-0.4473,3.65,34.79,26.56,2791.42,0.0,0.0,,,,22
300518,盛讯达,软件服务,106.25,105.9,1.22,11.2325,0.9472,5.2543,9334.0,4.4949,13.0,83.53,6.84,1.72,8.18,2.2,,,,22
2640,跨境通,国际贸易,61.95,243.9,0.2751,2.9496,-0.7413,1.5132,143151.04,0.5003,13.55,48.34,40.22,115.53,133.85,115.3,,,,22
300080,易成新能,材料行业,226.49,46.56,0.0409,6.4489,0.0433,4.8351,50280.4,0.5255,0.64,22.49,47.68,40.55,221.15,0.0,,,,22
