股票代码,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%)
600577,0.033,1.5261,-0.0501,0.0117,195532.42,0.4383,2.2,11.4,36.76,29.02,44.39,40.43
600578,-0.0069,3.4734,0.0186,1.3049,674673.45,0.6069,-0.23,-0.6,52.49,1.85,-111.67,-113.18
600579,0.0011,2.9246,-0.1452,3.8593,41063.6,-2.0043,0.04,31.78,26.85,269.64,0.0,0.0
600580,0.0265,4.0005,-0.0284,1.4542,128889.96,1.6504,0.67,22.52,65.89,13.05,-51.96,-52.96
600581,0.36,3.2266,-0.0316,1.1115,76644.89,0.061,11.68,17.31,79.8,175.4,0.0,0.0
600582,0.003,3.3902,-0.0653,0.3083,413858.89,2.0169,0.08,33.76,46.1,11.92,-46.06,26.14
600583,-0.04,5.1959,-0.1029,0.9608,442135.48,2.771,-0.74,-7.71,20.4,-13.67,-134.19,0.0
600584,0.04,4.4599,0.259,2.33,103591.48,0.8196,0.83,9.81,77.62,43.29,36.03,0.0
600585,0.4063,14.8836,0.4149,2.0162,529930.26,11.2351,2.77,29.04,25.71,28.58,86.41,87.74
600586,0.0323,2.7785,0.1106,1.3333,145889.24,0.43,1.17,26.5,57.23,5.68,533.0,577.2
600587,0.11,8.1057,-0.1476,3.9351,40642.81,2.9022,1.35,19.98,64.27,18.69,2.8,-13.77
600588,-0.11,3.651,-0.4385,1.6387,146421.78,0.675,-2.96,61.38,52.0,26.48,0.0,0.0
600589,0.041,4.2628,-0.1831,1.8428,70530.58,1.2181,0.97,26.42,43.33,12.64,10.99,4.35
600590,0.037,5.7461,-0.5541,3.7045,66696.06,0.9072,0.64,22.47,52.31,14.89,38.91,72.07
600592,0.0227,4.7421,-0.1326,1.7472,39955.36,1.0972,0.48,27.2,25.38,45.12,205.34,0.0
600593,-0.1033,4.2604,-0.1304,2.1495,9200.0,0.8664,-2.4,31.98,38.97,8.09,0.0,0.0
600594,0.127,5.1029,0.3764,0.9703,79192.74,2.7983,2.53,73.07,34.78,26.37,22.27,17.88
600595,0.002,2.7715,0.1236,1.618,174154.04,0.0079,0.07,9.28,77.63,-12.25,-96.8,-112.01
600596,0.0919,6.0218,-0.0156,1.1075,67918.46,3.2028,1.54,16.75,47.59,5.79,0.0,0.0
600597,0.1527,4.2112,-0.3041,1.4428,123063.67,1.495,3.66,35.17,60.79,7.45,58.39,82.13
600598,0.137,3.423,1.0577,1.3614,177767.99,0.3339,4.08,95.14,39.17,13.44,182.01,185.19
600599,0.058,4.3567,0.2017,3.0487,16600.0,0.2346,1.34,78.05,40.33,28.14,1341.91,0.0
600600,0.429,12.5054,1.1472,2.5494,135098.28,7.8499,3.49,40.95,43.35,2.6,8.51,8.13
600601,-0.0434,1.6526,-0.1429,0.066,219489.12,0.5607,-2.59,13.84,65.06,-7.69,0.0,0.0
600602,0.045,2.6758,-0.2043,1.0783,132683.51,0.3353,1.67,16.62,20.86,-2.93,93.38,10.11
600603,0.0994,8.9973,-0.0353,2.1843,62776.77,4.6005,1.47,86.23,34.57,29.55,24.78,25.55
600604,-0.0166,6.0459,-0.5855,4.2918,93665.24,0.7163,-0.27,25.88,53.43,-66.21,-168.48,-181.53
600605,0.036,3.9531,0.1345,1.2142,14734.46,1.1913,0.92,4.09,52.91,72.82,60.27,40.83
600606,0.22,4.6949,0.2295,0.7406,1216815.44,2.8171,4.66,14.84,89.24,20.28,18.94,15.87
600608,-0.02,-0.0587,-0.1057,1.335,32886.14,-2.536,0.0,5.8,104.51,43.76,0.0,0.0
600609,-0.049,0.024,0.0062,1.0069,109266.71,-2.3685,-117.22,15.63,96.32,15.35,0.0,0.0
600610,0.001,1.0868,-0.0786,0.3572,107127.46,-0.2704,0.01,15.74,25.46,2492.72,0.0,0.0
600611,0.078,3.9494,0.0625,0.0606,236412.29,1.2512,1.99,25.97,37.95,-6.2,100.18,92.07
600612,0.5942,10.2389,0.4484,0.9772,52311.78,7.3784,5.97,7.26,53.9,14.16,28.8,11.71
600613,0.04,4.4363,-0.1348,1.815,53407.16,1.4162,0.9,54.3,21.53,23.68,-43.29,-40.25
600614,0.046,2.6796,-0.0451,1.4586,175277.38,0.1919,1.72,31.58,39.53,4.5,63.41,61.59
600615,0.007,2.5878,-0.4943,2.3189,18802.05,-1.0682,0.29,21.42,11.9,2.12,-11.96,-106.61
600616,0.1,3.9886,0.0423,1.0298,51461.92,1.8267,2.65,49.75,15.65,-11.43,-13.88,-13.44
600617,0.0835,3.5108,0.2613,0.8643,108466.37,1.5037,2.39,13.34,81.12,33.27,-50.1,-50.88
600618,0.0506,1.7288,0.0862,1.4478,115640.0,-0.7457,2.97,9.32,58.15,36.67,520.55,206.73
600619,0.05,4.6781,-0.6799,2.4238,86631.07,0.9173,1.18,12.92,60.08,45.77,198.59,337.12
600620,-0.0082,3.7115,-0.0277,0.0119,68667.71,0.1152,-0.22,40.89,19.53,43.31,0.0,0.0
600621,0.02,3.7739,0.4451,0.4151,52408.24,1.8912,0.54,34.99,52.37,-54.93,-91.08,-92.41
600622,0.21,7.6461,-0.7073,3.2807,68260.6,2.8793,2.76,43.4,53.76,-21.19,37.09,35.45
600623,0.118,7.785,0.4727,4.2771,211743.09,2.3345,1.53,7.53,49.27,10.49,68.54,164.04
600624,0.0137,1.6056,-0.0692,0.252,68471.2,0.3495,0.85,37.56,48.51,10.62,29.85,483.07
600626,0.054,3.5284,-0.0823,0.2002,71024.28,1.3296,1.54,11.26,47.4,-1.39,-31.14,-21.62
600628,0.42,6.5681,0.0209,2.4198,64687.54,2.638,6.54,28.92,24.92,-5.9,1853.28,1843.0
600629,0.134,5.3097,-1.0298,3.1424,43220.81,1.5506,4.68,26.26,58.64,9.79,84.19,11.65
600630,0.05,4.0392,-0.2628,2.1955,42486.16,0.7755,1.25,30.8,32.44,1.58,-5.12,-20.73
600633,0.9676,5.93,-0.0789,2.5392,130192.4,2.327,17.78,43.51,2.06,-3.62,637.53,5.69
600634,0.05,5.0678,0.3237,3.3602,57573.21,0.6131,0.99,81.53,36.22,-22.03,3434.04,0.0
600635,0.0428,2.5487,0.0719,0.3868,295243.47,0.5084,1.73,10.51,53.51,-0.16,-10.97,-18.37
600636,0.0852,5.6328,0.1848,3.3542,44694.19,1.0833,1.53,12.96,29.09,29.66,345.59,921.46
