股票代码,股票名称,所属行业,PE(动),总市值
600231,凌钢股份,钢铁行业,63.01,84.39
600232,金鹰股份,纺织服装,172.53,42.89
600233,圆通速递,交运物流,52.45,682.5
600234,ST山水,房地产,259.77,37.07
600235,民丰特纸,造纸印刷,284.38,35.69
600236,桂冠电力,电力行业,11.87,388.1
600237,铜峰电子,电子元件,0.0,43.46
600238,海南椰岛,酿酒行业,0.0,52.80
600239,云南城投,房地产,28.72,70.11
600240,华业资本,房地产,14.03,162.2
600241,时代万恒,国际贸易,0.0,38.27
600242,中昌数据,软件服务,0.0,88.62
600243,青海华鼎,机械行业,0.0,51.65
600246,万通地产,房地产,98.88,109.1
600247,ST成城,商业百货,0.0,52.25
600248,延长化建,石油行业,38.41,47.17
600249,两面针,化工行业,0.0,60.50
600250,南纺股份,纺织服装,0.0,36.24
600251,冠农股份,农牧饲渔,428.19,69.62
600252,中恒集团,医药制造,27.54,159.2
600253,天方药业,医药制造,0.0,0
600255,鑫科材料,有色金属,0.0,87.06
600256,广汇能源,石油行业,110.45,242.3
600257,大湖股份,农牧饲渔,670.06,46.78
600258,首旅酒店,旅游酒店,88.8,186.0
600259,广晟有色,有色金属,0.0,139.6
600260,凯乐科技,材料行业,91.96,138.4
600261,阳光照明,电子元件,22.93,108.5
600262,北方股份,机械行业,0.0,62.97
600263,路桥建设,工程建设,0.0,0
600265,ST景谷,木业家具,130.84,44.11
600266,北京城建,房地产,25.52,233.0
600267,海正药业,医药制造,319.05,131.9
600268,国电南自,输配电气,168.33,53.04
600269,赣粤高速,高速公路,12.16,126.1
600270,外运发展,交运物流,16.05,159.7
600271,航天信息,软件服务,25.24,387.7
600272,开开实业,商业百货,234.18,44.37
600273,嘉化能源,化工行业,17.03,121.7
600275,武昌鱼,房地产,0.0,73.48
600276,恒瑞医药,医药制造,49.07,1270
600277,亿利洁能,化工行业,73.93,214.5
600278,东方创业,国际贸易,53.47,79.59
600279,重庆港九,港口水运,69.07,54.19
600280,中央商场,商业百货,90.3,96.46
600281,太化股份,化工行业,0.0,44.34
600282,南钢股份,钢铁行业,41.44,146.6
600283,钱江水利,公用事业,0.0,43.17
600284,浦东建设,工程建设,23.8,85.45
600285,羚锐制药,医药制造,16.2,72.97
600286,S*ST国瓷,-,0.0,0
600287,江苏舜天,商业百货,89.13,41.89
600288,大恒科技,电子信息,0.0,57.88
600289,亿阳信通,软件服务,63.0,81.78
600290,华仪电气,输配电气,212.68,87.69
600291,西水股份,多元金融,318.91,164.2
600292,远达环保,环保工程,60.68,91.98
600293,三峡新材,玻璃陶瓷,514.87,144.4
600295,鄂尔多斯,钢铁行业,44.34,107.5
600296,S兰铝,-,0.0,0
600297,广汇汽车,汽车行业,19.37,517.6
600298,安琪酵母,食品饮料,32.26,172.6
600299,安迪苏,农药兽药,18.6,383.2
600300,维维股份,食品饮料,160.94,112.9
600301,*ST南化,化工行业,0.0,29.84
600302,标准股份,专用设备,0.0,36.23
600303,曙光股份,汽车行业,146.36,67.49
600305,恒顺醋业,食品饮料,42.38,66.12
600306,*ST商城,商业百货,0.0,28.45
600307,酒钢宏兴,钢铁行业,245.45,202.3
600308,华泰股份,造纸印刷,43.34,68.89
600309,万华化学,化工行业,18.5,616.7
600310,桂东电力,电力行业,52.05,71.85
600311,荣华实业,贵金属,0.0,45.66
600312,平高电气,输配电气,18.85,230.0
600313,农发种业,农牧饲渔,300.54,63.09
600315,上海家化,化工行业,94.77,204.7
600316,洪都航空,航天航空,1357.53,149.9
600317,营口港,港口水运,48.93,230.4
600318,新力金融,多元金融,45.62,74.20
600319,亚星化学,化工行业,141.76,37.97
600320,振华重工,机械行业,118.53,245.9
600321,国栋建设,水泥建材,0.0,87.61
600322,天房发展,房地产,0.0,69.22
600323,瀚蓝环境,公用事业,21.65,110.1
600325,华发股份,房地产,30.75,155.7
600326,西藏天路,工程建设,32.25,81.61
600327,大东方,商业百货,23.32,54.05
600328,兰太实业,化工行业,67.91,54.62
600329,中新药业,医药制造,32.1,149.5
600330,天通股份,电子元件,62.77,90.85
600331,宏达股份,有色金属,190.16,131.1
600332,白云山,医药制造,31.32,472.3
600333,长春燃气,公用事业,117.98,44.59
600335,国机汽车,国际贸易,18.99,135.5
600336,澳柯玛,家电行业,71.66,57.25
600337,美克家居,木业家具,28.23,93.39
600338,西藏珠峰,有色金属,32.24,209.6
600339,*ST油工,工程建设,0.0,421.0
600340,华夏幸福,房地产,12.83,787.2
600343,航天动力,机械行业,569.47,142.0
600345,长江通信,通讯行业,67.33,46.83
600346,恒力股份,化纤行业,20.57,242.7
600348,阳泉煤业,煤炭采选,96.6,163.5
600349,富通昭和,-,0.0,0
600350,山东高速,高速公路,10.34,339.7
600351,亚宝药业,医药制造,77.2,70.83
600352,浙江龙盛,化工行业,16.31,309.4
600353,旭光股份,电子元件,132.59,60.03
600354,敦煌种业,农牧饲渔,0.0,43.75
600355,精伦电子,电子元件,1266.27,47.04
600356,恒丰纸业,造纸印刷,38.94,36.86
600357,承德钒钛,-,0.0,0
600358,国旅联合,旅游酒店,0.0,53.17
600359,新农开发,农牧饲渔,0.0,36.32
600360,华微电子,电子元件,136.51,69.08
600361,华联综超,商业百货,0.0,47.14
600362,江西铜业,有色金属,46.12,607.7
600363,联创光电,电子元件,39.57,82.58
600365,通葡股份,酿酒行业,3460.13,47.56
600366,宁波韵升,有色金属,11.19,115.8
600367,红星发展,化工行业,86.1,39.49
600368,五洲交通,高速公路,24.96,55.45
600369,西南证券,券商信托,25.65,361.3
600370,三房巷,纺织服装,77.97,47.12
600371,万向德农,农牧饲渔,88.52,35.74
600372,中航电子,航天航空,74.85,344.6
600373,中文传媒,文化传媒,24.18,313.2
600375,华菱星马,专用设备,61.5,46.46
600376,首开股份,房地产,19.87,319.4
600377,宁沪高速,高速公路,14.08,471.0
600378,天科股份,化工行业,159.83,43.33
600379,宝光股份,输配电气,98.68,53.61
600380,健康元,医药制造,30.29,151.0
600381,青海春天,医药制造,96.09,113.0
600382,广东明珠,国际贸易,41.76,73.99
600383,金地集团,房地产,21.13,483.0
600385,山东金泰,贵金属,1264.09,29.61
600386,北巴传媒,交运物流,50.03,58.91
600387,海越股份,石油行业,0.0,69.27
600388,龙净环保,机械行业,24.55,140.6
600389,江山股份,农药兽药,539.65,58.18
600390,*ST金瑞,材料行业,437.37,567.1
600391,成发科技,航天航空,227.82,120.6
600392,盛和资源,有色金属,0.0,177.8
600393,粤泰股份,房地产,141.45,205.3
600395,盘江股份,煤炭采选,129.22,132.2
600396,金山股份,电力行业,27.17,74.96
600397,安源煤业,煤炭采选,0.0,51.97
600398,海澜之家,纺织服装,15.29,477.6
600399,抚顺特钢,钢铁行业,54.65,96.20
